Attendance (%),Extracurricular_Activities,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Stress_Level (1-10),Sleep_Hours_per_Night,Grade
92.68,1,60.33,70.99,85.67,55.46,5.699999999999999,76.4,3,8.2,0
70.32,1,41.14,83.66,66.76,61.46,68.2,62.64,8,4.4,0
52.96,0,78.38,55.22,60.21,76.98,82.2,69.37,1,8.0,0
68.14,1,95.82,56.38,69.11,74.48,64.0,56.8,7,6.9,0
66.87,0,72.25,88.65,54.94,77.86,13.3,66.85,6,6.2,0
68.47,1,57.07,60.64,53.66,85.3,26.5,74.31,10,8.7,0
57.46,0,47.28,51.52,57.06,88.44,72.30000000000001,51.13,1,6.4,0
65.6,0,76.57,75.55,54.99,54.26,21.3,53.73,8,7.3,0
56.27,1,68.07,42.62,67.12,61.1,86.7,62.5,4,7.5,0
60.67,1,48.42,62.72,83.03,52.81,46.0,63.23,7,5.9,0
61.57,1,76.65,58.67,56.18,63.04,21.3,88.78,9,7.3,0
71.9,0,60.25,57.42,68.28,81.46,97.8,69.49,10,8.9,0
54.93,0,50.73,51.39,98.2,88.85,38.7,73.44,2,8.1,0
82.05,1,58.71,45.78,54.1,64.24,99.2,82.1,8,5.6,0
63.44,0,50.81,79.49,50.36,61.76,18.2,58.86,6,6.8,0
