Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,22,Mathematics,97.36,40.61,59.61,73.69,53.17,73.4,62.84,59.8865,F,10.3,Yes,No,Master's,2,1,5.9
Male,18,Business,97.71,57.27,74.0,74.23,98.23,88.0,98.23,81.917,B,27.1,No,No,High School,1,4,4.3
Male,24,Engineering,99.52,41.84,63.85,85.85,50.0,4.699999999999999,91.22,67.717,D,12.4,Yes,No,High School,1,9,6.1
Female,24,Engineering,90.38,45.65,44.44,68.1,66.27,4.2,55.48,51.6535,F,25.5,No,Yes,High School,1,8,4.9
Female,23,CS,59.41,53.13,61.77,67.66,83.98,64.3,87.43,71.403,C,13.3,Yes,No,Master's,2,6,4.5
Male,21,Mathematics,60.6,70.21,64.48,87.85,52.26,54.8,67.65,68.09,D,25.3,Yes,No,,2,6,5.6
Male,24,Business,67.01,90.85,93.74,89.0,54.17,15.5,87.51,82.8575,B,22.1,Yes,No,Bachelor's,3,2,4.0
Male,19,Engineering,65.91,91.72,59.47,50.72,53.83,54.8,90.04,71.36850000000001,C,16.7,Yes,Yes,,1,5,7.8
Female,21,CS,97.83,76.97,62.75,57.19,79.08,97.4,57.57,65.8605,D,18.1,No,Yes,PhD,3,9,4.8
Female,22,Business,89.45,95.69,86.97,60.65,94.8,63.1,83.09,82.75550000000001,B,9.4,Yes,No,,3,8,7.1
Female,23,Business,86.2,70.0,85.54,67.58,77.77,44.900000000000006,93.14,79.98599999999999,C,7.9,Yes,Yes,High School,1,4,8.2
Female,20,Mathematics,59.3,93.34,87.9,64.57,80.18,82.8,66.17,77.6705,C,22.9,Yes,No,,1,7,8.6
Male,21,Engineering,95.48,67.24,97.23,83.43,67.3,21.3,54.02,70.909,C,26.2,No,No,,2,9,6.8
Male,18,Business,91.39,56.63,87.73,91.41,50.94,41.4,51.36,66.7105,D,23.0,No,No,PhD,2,5,7.9
Male,19,CS,58.18,94.98,64.46,59.6,51.08,52.8,55.5,63.7,D,27.8,No,Yes,Bachelor's,3,2,6.3
Male,18,CS,93.56,63.28,89.29,78.15,94.42,50.5,50.21,70.56700000000001,C,27.3,Yes,No,Bachelor's,1,2,6.5
Female,21,Business,63.61,70.2,70.52,68.39,55.13,92.1,66.35,68.44149999999999,D,24.5,No,Yes,High School,3,8,6.7
Female,23,CS,54.04,59.73,56.66,75.29,99.99,29.3,64.97,65.373,D,27.5,No,No,Bachelor's,2,8,7.4
Male,20,Business,82.84,79.77,58.18,81.04,58.22,5.699999999999999,55.52,61.4295,D,9.2,Yes,Yes,High School,3,8,7.3
Male,20,CS,82.69,99.7,53.43,94.68,83.73,91.6,82.56,80.2355,B,23.3,No,Yes,Master's,1,5,7.9
Male,18,Business,54.75,41.53,48.7,59.61,97.45,21.7,99.6,68.05599999999998,D,23.8,No,No,PhD,3,2,7.1
Male,22,Business,65.94,93.99,51.07,54.35,68.11,37.9,95.05,72.2395,C,8.8,No,No,,3,10,8.4
Male,22,Business,99.64,40.24,43.79,81.36,86.72,53.1,62.64,59.3065,F,27.7,No,Yes,PhD,1,8,7.5
Female,23,CS,83.92,61.85,93.31,69.71,67.54,97.6,88.5,81.2455,B,5.2,Yes,Yes,Bachelor's,1,4,8.6
Female,20,Business,86.5,50.12,95.86,58.15,65.25,53.5,96.84,78.4575,C,15.9,No,Yes,,1,9,7.8
Male,18,Mathematics,60.65,85.44,75.21,55.85,60.09,44.8,95.32,76.841,C,5.5,No,No,PhD,2,10,7.7
Male,18,Business,53.94,43.04,90.43,77.95,91.05,58.4,94.23,81.05000000000001,B,18.1,No,No,PhD,3,6,8.3
Male,18,Engineering,63.85,73.21,51.01,65.02,62.87,97.1,89.32,71.42499999999998,C,15.3,No,Yes,High School,3,10,7.3
Female,21,Engineering,62.44,57.7,94.1,99.87,64.16,81.8,64.65,77.0615,C,20.6,Yes,No,Master's,1,7,4.9
Female,23,Mathematics,61.73,48.02,70.38,70.3,99.95,16.9,54.18,62.43699999999999,D,24.2,Yes,Yes,PhD,1,3,4.4
Female,22,Business,59.64,86.31,44.03,60.61,66.37,80.3,74.39,66.0145,D,24.2,Yes,Yes,,2,2,5.6
Male,22,Engineering,78.74,53.05,48.48,81.44,71.14,84.1,52.74,59.4345,F,23.1,Yes,No,Master's,1,2,8.1
Female,21,Business,66.41,53.42,58.54,62.21,99.5,69.1,99.92,75.3605,C,7.5,Yes,No,Master's,2,3,4.1
Male,19,Engineering,91.02,56.5,42.61,74.7,68.47,65.7,67.92,60.840500000000006,D,15.4,No,No,,2,7,4.8
Female,21,CS,59.2,75.21,58.56,74.13,68.31,44.1,97.92,75.453,C,25.4,No,Yes,Master's,2,8,4.5
Female,23,CS,73.23,79.58,43.6,72.68,91.39,64.2,88.66,72.686,C,21.4,No,No,Bachelor's,1,4,4.2
Female,18,Mathematics,50.68,41.06,54.16,89.8,65.6,73.8,70.56,64.58699999999999,D,22.0,Yes,Yes,Master's,3,3,8.1
Male,21,Mathematics,74.08,54.51,55.94,60.83,61.69,12.3,55.92,54.846,F,10.7,Yes,Yes,High School,1,7,5.4
Male,18,Business,52.79,65.86,99.66,95.22,71.16,25.7,61.86,76.036,C,13.1,Yes,No,Master's,3,3,7.6
Female,23,Mathematics,98.89,59.92,54.13,89.57,85.03,19.4,83.65,70.524,C,28.9,No,No,PhD,1,8,4.7
Male,24,Business,89.53,93.05,54.35,66.66,52.16,84.1,91.5,74.41499999999999,C,26.2,Yes,No,Master's,2,4,6.0
Male,23,CS,74.51,87.26,81.21,59.03,68.7,68.0,98.97,82.207,B,9.1,Yes,Yes,High School,3,8,4.6
Male,20,CS,54.33,77.55,91.56,63.98,67.31,45.1,56.61,70.08850000000001,C,18.6,No,No,High School,1,2,4.0
Male,18,Engineering,79.62,60.28,63.22,66.63,62.24,82.6,57.8,62.5355,D,17.3,Yes,Yes,Master's,1,8,7.1
Male,22,Business,87.94,82.04,92.54,77.85,82.71,71.7,52.12,74.6105,C,16.1,No,Yes,Bachelor's,3,8,6.4
Male,21,CS,59.54,90.62,60.41,52.32,64.5,91.4,63.02,66.46950000000001,D,16.8,Yes,Yes,Master's,2,10,6.1
Male,24,CS,78.41,75.69,51.82,95.72,80.34,7.7,91.05,74.4005,C,21.1,Yes,No,,2,3,4.4
Female,23,Business,90.71,87.07,59.78,54.93,75.22,50.9,59.91,64.285,D,29.2,No,No,High School,3,2,6.9
Male,18,Engineering,88.41,84.95,76.56,63.96,60.86,70.7,77.39,74.3145,C,26.9,No,No,Master's,1,7,7.9
Male,24,Engineering,90.15,74.3,62.03,55.46,63.33,20.7,72.32,64.03549999999998,D,26.9,No,Yes,Bachelor's,2,9,4.3
Female,19,Engineering,93.97,58.73,80.37,62.83,58.53,32.7,66.29,65.70150000000001,D,22.6,Yes,Yes,Bachelor's,1,10,6.1
Female,20,Engineering,96.88,84.75,54.22,91.88,52.83,41.900000000000006,80.92,71.70349999999999,C,5.4,No,Yes,Bachelor's,2,1,5.6
Female,19,CS,70.28,52.41,82.06,80.76,80.96,79.4,75.12,75.0925,C,16.0,Yes,No,PhD,1,5,8.5
Female,23,Business,78.44,86.77,60.85,61.37,83.64,49.400000000000006,66.74,68.2895,D,17.8,No,No,PhD,2,3,5.3
Male,19,Business,89.53,88.27,67.35,93.59,58.3,49.3,84.44,77.74349999999998,C,26.1,Yes,Yes,PhD,1,9,8.7
Female,19,CS,84.86,89.33,73.46,90.04,80.77,43.1,64.0,74.7025,C,28.1,No,Yes,,1,8,8.1
Female,20,CS,99.78,68.37,81.17,87.68,99.1,22.9,82.16,79.403,C,16.3,No,Yes,,2,9,4.5
Male,20,CS,50.68,51.55,54.32,92.38,53.72,92.3,97.86,74.5145,C,12.5,Yes,Yes,Master's,2,9,6.4
Male,20,Mathematics,67.76,45.98,90.16,80.98,74.52,31.8,86.45,76.56099999999999,C,13.4,No,Yes,PhD,1,10,7.2
Male,24,Business,64.05,84.6,83.31,75.07,86.65,56.7,70.92,77.554,C,19.5,No,Yes,PhD,3,3,7.0
Female,20,Business,63.12,93.18,54.05,68.7,52.3,14.9,87.38,69.98349999999999,D,11.9,Yes,No,,1,7,7.4
Male,19,Business,61.13,79.05,98.5,61.19,88.91,43.4,90.46,83.86,B,27.8,Yes,Yes,Bachelor's,3,5,6.1
Female,22,Engineering,85.46,48.65,79.89,77.87,98.98,90.4,66.29,73.25550000000001,C,15.5,Yes,No,Bachelor's,2,6,8.5
Male,22,CS,54.24,96.09,67.15,94.47,54.42,99.5,85.26,81.3665,B,29.8,Yes,Yes,High School,3,8,5.4
Male,20,CS,87.08,99.35,49.45,79.7,91.11,36.2,71.72,71.65700000000001,C,7.7,No,Yes,Master's,1,10,4.5
Female,24,CS,84.67,66.0,71.99,95.98,68.93,15.4,90.93,77.2365,C,9.7,No,No,Master's,2,8,8.9
